user,tag,attempts,solved,corpus_count,solve_rate,coverage,strength_score,weakness_score,is_weak
-firefly-,matrices,8,8,137,1.0,0.0584,0.435,0.565,1
-firefly-,shortest paths,18,18,291,1.0,0.0619,0.4371,0.5629,1
-firefly-,strings,91,85,792,0.9341,0.1073,0.438,0.562,1
-firefly-,dsu,35,34,405,0.9714,0.084,0.4389,0.5611,1
-firefly-,combinatorics,79,77,813,0.9747,0.0947,0.4467,0.5533,1
-firefly-,implementation,298,290,2965,0.9732,0.0978,0.4479,0.5521,1
-firefly-,divide and conquer,36,35,344,0.9722,0.1017,0.4499,0.5501,1
-firefly-,bitmasks,78,75,686,0.9615,0.1093,0.4502,0.5498,0
-firefly-,interactive,36,34,278,0.9444,0.1223,0.4512,0.5488,0
-firefly-,constructive algorithms,255,247,2035,0.9686,0.1214,0.4603,0.5397,0
-firefly-,number theory,107,104,862,0.972,0.1206,0.4612,0.5388,0
-firefly-,sortings,160,155,1212,0.9688,0.1279,0.4642,0.5358,0
-firefly-,games,37,36,287,0.973,0.1254,0.4645,0.5355,0
-firefly-,brute force,262,253,1935,0.9656,0.1307,0.4647,0.5353,0
-firefly-,binary search,189,180,1247,0.9524,0.1443,0.4676,0.5324,0
-firefly-,math,440,432,3356,0.9818,0.1287,0.47,0.53,0
-firefly-,two pointers,95,91,625,0.9579,0.1456,0.4705,0.5295,0
-firefly-,greedy,524,506,3429,0.9656,0.1476,0.4748,0.5252,0
-firefly-,chinese remainder theorem,3,3,24,1.0,0.125,0.475,0.525,0
-firefly-,ternary search,17,16,69,0.9412,0.2319,0.5156,0.4844,0
-firefly-,schedules,6,6,14,1.0,0.4286,0.6571,0.3429,0
-firefly-,communication,2,2,3,1.0,0.6667,0.8,0.2,0
0.1w33hw3,string suffix structures,6,5,100,0.8333,0.05,0.3633,0.6367,1
0.1w33hw3,shortest paths,13,12,291,0.9231,0.0412,0.394,0.606,1
0.1w33hw3,graph matchings,1,1,104,1.0,0.0096,0.4058,0.5942,1
0.1w33hw3,implementation,149,142,2965,0.953,0.0479,0.4099,0.5901,1
0.1w33hw3,meet-in-the-middle,1,1,51,1.0,0.0196,0.4118,0.5882,1
0.1w33hw3,flows,5,5,160,1.0,0.0312,0.4188,0.5812,1
0.1w33hw3,geometry,15,15,419,1.0,0.0358,0.4215,0.5785,1
0.1w33hw3,binary search,97,92,1247,0.9485,0.0738,0.4236,0.5764,1
0.1w33hw3,ternary search,3,3,69,1.0,0.0435,0.4261,0.5739,1
0.1w33hw3,probabilities,13,13,265,1.0,0.0491,0.4294,0.5706,1
0.1w33hw3,interactive,23,22,278,0.9565,0.0791,0.4301,0.5699,1
0.1w33hw3,sortings,94,91,1212,0.9681,0.0751,0.4323,0.5677,1
0.1w33hw3,strings,55,54,792,0.9818,0.0682,0.4336,0.5664,1
0.1w33hw3,graphs,67,67,1187,1.0,0.0564,0.4339,0.5661,1
0.1w33hw3,trees,66,65,934,0.9848,0.0696,0.4357,0.5643,1
0.1w33hw3,data structures,153,150,1974,0.9804,0.076,0.4377,0.5623,1
0.1w33hw3,number theory,79,76,862,0.962,0.0882,0.4377,0.5623,1
0.1w33hw3,dp,217,210,2442,0.9677,0.086,0.4387,0.5613,1
0.1w33hw3,two pointers,57,55,625,0.9649,0.088,0.4388,0.5612,1
0.1w33hw3,dfs and similar,70,70,1040,1.0,0.0673,0.4404,0.5596,1
0.1w33hw3,constructive algorithms,166,163,2035,0.9819,0.0801,0.4408,0.5592,1
0.1w33hw3,bitmasks,71,68,686,0.9577,0.0991,0.4426,0.5574,1
0.1w33hw3,hashing,17,17,235,1.0,0.0723,0.4434,0.5566,1
0.1w33hw3,greedy,301,295,3429,0.9801,0.086,0.4436,0.5564,1
0.1w33hw3,math,290,285,3356,0.9828,0.0849,0.4441,0.5559,1
0.1w33hw3,divide and conquer,40,38,344,0.95,0.1105,0.4463,0.5537,1
0.1w33hw3,matrices,11,11,137,1.0,0.0803,0.4482,0.5518,1
0.1w33hw3,brute force,158,158,1935,1.0,0.0817,0.449,0.551,1
0.1w33hw3,chinese remainder theorem,2,2,24,1.0,0.0833,0.45,0.55,0
0.1w33hw3,dsu,38,38,405,1.0,0.0938,0.4563,0.5437,0
0.1w33hw3,games,30,30,287,1.0,0.1045,0.4627,0.5373,0
0.1w33hw3,combinatorics,109,109,813,1.0,0.1341,0.4804,0.5196,0
0.1w33hw3,fft,15,15,110,1.0,0.1364,0.4818,0.5182,0
0.1w33hw3,schedules,2,2,14,1.0,0.1429,0.4857,0.5143,0
0.1w33hw3,2-sat,6,6,40,1.0,0.15,0.49,0.51,0
08kevin,matrices,3,2,137,0.6667,0.0146,0.2754,0.7246,1
08kevin,fft,4,3,110,0.75,0.0273,0.3164,0.6836,1
08kevin,divide and conquer,9,7,344,0.7778,0.0203,0.3233,0.6767,1
08kevin,hashing,9,7,235,0.7778,0.0298,0.329,0.671,1
08kevin,geometry,6,5,419,0.8333,0.0119,0.3405,0.6595,1
08kevin,strings,23,19,792,0.8261,0.024,0.3448,0.6552,1
08kevin,dfs and similar,19,16,1040,0.8421,0.0154,0.3461,0.6539,1
08kevin,interactive,7,6,278,0.8571,0.0216,0.3558,0.6442,1
08kevin,trees,22,19,934,0.8636,0.0203,0.3577,0.6423,1
08kevin,graphs,23,21,1187,0.913,0.0177,0.3758,0.6242,1
08kevin,dsu,11,10,405,0.9091,0.0247,0.3785,0.6215,1
08kevin,games,10,9,287,0.9,0.0314,0.3788,0.6212,1
08kevin,data structures,59,54,1974,0.9153,0.0274,0.3825,0.6175,1
08kevin,number theory,35,32,862,0.9143,0.0371,0.388,0.612,1
08kevin,binary search,35,33,1247,0.9429,0.0265,0.393,0.607,1
08kevin,implementation,68,65,2965,0.9559,0.0219,0.3955,0.6045,1
08kevin,brute force,63,60,1935,0.9524,0.031,0.3996,0.6004,1
08kevin,math,118,112,3356,0.9492,0.0334,0.3997,0.6003,1
08kevin,combinatorics,28,27,813,0.9643,0.0332,0.4056,0.5944,1
08kevin,dp,72,70,2442,0.9722,0.0287,0.4061,0.5939,1
08kevin,ternary search,1,1,69,1.0,0.0145,0.4087,0.5913,1
08kevin,flows,3,3,160,1.0,0.0188,0.4112,0.5888,1
08kevin,graph matchings,2,2,104,1.0,0.0192,0.4115,0.5885,1
08kevin,string suffix structures,2,2,100,1.0,0.02,0.412,0.588,1
08kevin,constructive algorithms,80,78,2035,0.975,0.0383,0.413,0.587,1
08kevin,probabilities,6,6,265,1.0,0.0226,0.4136,0.5864,1
08kevin,two pointers,16,16,625,1.0,0.0256,0.4154,0.5846,1
08kevin,greedy,142,139,3429,0.9789,0.0405,0.4159,0.5841,1
08kevin,shortest paths,8,8,291,1.0,0.0275,0.4165,0.5835,1
08kevin,bitmasks,24,24,686,1.0,0.035,0.421,0.579,1
08kevin,chinese remainder theorem,1,1,24,1.0,0.0417,0.425,0.575,1
08kevin,sortings,51,51,1212,1.0,0.0421,0.4252,0.5748,1
08kevin,2-sat,2,2,40,1.0,0.05,0.43,0.57,1
0htoAi,matrices,1,0,137,0.0,0.0,0.0,1.0,1
0htoAi,probabilities,4,2,265,0.5,0.0075,0.2045,0.7955,1
0htoAi,2-sat,2,1,40,0.5,0.025,0.215,0.785,1
0htoAi,ternary search,3,2,69,0.6667,0.029,0.2841,0.7159,1
0htoAi,dsu,13,10,405,0.7692,0.0247,0.3225,0.6775,1
0htoAi,hashing,7,6,235,0.8571,0.0255,0.3582,0.6418,1
0htoAi,trees,16,14,934,0.875,0.015,0.359,0.641,1
0htoAi,interactive,13,11,278,0.8462,0.0396,0.3622,0.6378,1
0htoAi,graphs,29,26,1187,0.8966,0.0219,0.3718,0.6282,1
0htoAi,data structures,70,62,1974,0.8857,0.0314,0.3731,0.6269,1
0htoAi,divide and conquer,10,9,344,0.9,0.0262,0.3757,0.6243,1
0htoAi,dfs and similar,23,21,1040,0.913,0.0202,0.3773,0.6227,1
0htoAi,binary search,36,33,1247,0.9167,0.0265,0.3825,0.6175,1
0htoAi,brute force,61,56,1935,0.918,0.0289,0.3846,0.6154,1
0htoAi,implementation,73,68,2965,0.9315,0.0229,0.3864,0.6136,1
0htoAi,two pointers,26,24,625,0.9231,0.0384,0.3923,0.6077,1
0htoAi,number theory,38,35,862,0.9211,0.0406,0.3928,0.6072,1
0htoAi,dp,70,66,2442,0.9429,0.027,0.3934,0.6066,1
0htoAi,strings,20,19,792,0.95,0.024,0.3944,0.6056,1
0htoAi,combinatorics,21,20,813,0.9524,0.0246,0.3957,0.6043,1
0htoAi,constructive algorithms,105,97,2035,0.9238,0.0477,0.3981,0.6019,1
0htoAi,math,113,108,3356,0.9558,0.0322,0.4016,0.5984,1
0htoAi,greedy,188,176,3429,0.9362,0.0513,0.4053,0.5947,1
0htoAi,flows,2,2,160,1.0,0.0125,0.4075,0.5925,1
0htoAi,geometry,6,6,419,1.0,0.0143,0.4086,0.5914,1
0htoAi,bitmasks,28,27,686,0.9643,0.0394,0.4093,0.5907,1
0htoAi,shortest paths,5,5,291,1.0,0.0172,0.4103,0.5897,1
0htoAi,sortings,55,53,1212,0.9636,0.0437,0.4117,0.5883,1
0htoAi,string suffix structures,2,2,100,1.0,0.02,0.412,0.588,1
0htoAi,fft,3,3,110,1.0,0.0273,0.4164,0.5836,1
0htoAi,graph matchings,4,4,104,1.0,0.0385,0.4231,0.5769,1
0htoAi,games,14,14,287,1.0,0.0488,0.4293,0.5707,1
0wuming0,*special,3,3,370,1.0,0.0081,0.4049,0.5951,1
0wuming0,expression parsing,4,4,35,1.0,0.1143,0.4686,0.5314,0
0wuming0,schedules,2,2,14,1.0,0.1429,0.4857,0.5143,0
0wuming0,geometry,60,60,419,1.0,0.1432,0.4859,0.5141,0
0wuming0,string suffix structures,17,17,100,1.0,0.17,0.502,0.498,0
0wuming0,flows,28,28,160,1.0,0.175,0.505,0.495,0
0wuming0,implementation,543,543,2965,1.0,0.1831,0.5099,0.4901,0
0wuming0,trees,178,178,934,1.0,0.1906,0.5143,0.4857,0
0wuming0,fft,22,22,110,1.0,0.2,0.52,0.48,0
0wuming0,strings,160,160,792,1.0,0.202,0.5212,0.4788,0
0wuming0,ternary search,14,14,69,1.0,0.2029,0.5217,0.4783,0
0wuming0,dsu,83,83,405,1.0,0.2049,0.523,0.477,0
0wuming0,data structures,406,406,1974,1.0,0.2057,0.5234,0.4766,0
0wuming0,divide and conquer,72,72,344,1.0,0.2093,0.5256,0.4744,0
0wuming0,graphs,253,253,1187,1.0,0.2131,0.5279,0.4721,0
0wuming0,matrices,30,30,137,1.0,0.219,0.5314,0.4686,0
0wuming0,dp,545,545,2442,1.0,0.2232,0.5339,0.4661,0
0wuming0,dfs and similar,241,241,1040,1.0,0.2317,0.539,0.461,0
0wuming0,sortings,282,282,1212,1.0,0.2327,0.5396,0.4604,0
0wuming0,probabilities,62,62,265,1.0,0.234,0.5404,0.4596,0
0wuming0,combinatorics,192,192,813,1.0,0.2362,0.5417,0.4583,0
0wuming0,graph matchings,25,25,104,1.0,0.2404,0.5442,0.4558,0
0wuming0,shortest paths,70,70,291,1.0,0.2405,0.5443,0.4557,0
0wuming0,binary search,302,302,1247,1.0,0.2422,0.5453,0.4547,0
0wuming0,brute force,470,470,1935,1.0,0.2429,0.5457,0.4543,0
0wuming0,greedy,854,854,3429,1.0,0.2491,0.5494,0.4506,0
0wuming0,math,836,836,3356,1.0,0.2491,0.5495,0.4505,0
0wuming0,constructive algorithms,519,519,2035,1.0,0.255,0.553,0.447,0
0wuming0,two pointers,162,162,625,1.0,0.2592,0.5555,0.4445,0
0wuming0,hashing,61,61,235,1.0,0.2596,0.5557,0.4443,0
0wuming0,number theory,230,230,862,1.0,0.2668,0.5601,0.4399,0
0wuming0,bitmasks,195,195,686,1.0,0.2843,0.5706,0.4294,0
0wuming0,meet-in-the-middle,15,15,51,1.0,0.2941,0.5765,0.4235,0
0wuming0,games,87,87,287,1.0,0.3031,0.5819,0.4181,0
0wuming0,2-sat,13,13,40,1.0,0.325,0.595,0.405,0
0wuming0,communication,1,1,3,1.0,0.3333,0.6,0.4,0
0wuming0,interactive,98,98,278,1.0,0.3525,0.6115,0.3885,0
0wuming0,chinese remainder theorem,13,13,24,1.0,0.5417,0.725,0.275,0
0x0c5cbae8,hashing,8,7,235,0.875,0.0298,0.3679,0.6321,1
0x0c5cbae8,*special,1,1,370,1.0,0.0027,0.4016,0.5984,1
0x0c5cbae8,fft,1,1,110,1.0,0.0091,0.4055,0.5945,1
0x0c5cbae8,dsu,19,18,405,0.9474,0.0444,0.4056,0.5944,1
0x0c5cbae8,string suffix structures,1,1,100,1.0,0.01,0.406,0.594,1
0x0c5cbae8,two pointers,34,32,625,0.9412,0.0512,0.4072,0.5928,1
0x0c5cbae8,data structures,78,75,1974,0.9615,0.038,0.4074,0.5926,1
0x0c5cbae8,ternary search,1,1,69,1.0,0.0145,0.4087,0.5913,1
0x0c5cbae8,implementation,108,105,2965,0.9722,0.0354,0.4101,0.5899,1
0x0c5cbae8,brute force,96,92,1935,0.9583,0.0475,0.4119,0.5881,1
0x0c5cbae8,matrices,3,3,137,1.0,0.0219,0.4131,0.5869,1
0x0c5cbae8,flows,4,4,160,1.0,0.025,0.415,0.585,1
0x0c5cbae8,bitmasks,33,32,686,0.9697,0.0466,0.4159,0.5841,1
0x0c5cbae8,graph matchings,3,3,104,1.0,0.0288,0.4173,0.5827,1
0x0c5cbae8,strings,23,23,792,1.0,0.029,0.4174,0.5826,1
0x0c5cbae8,number theory,41,40,862,0.9756,0.0464,0.4181,0.5819,1
0x0c5cbae8,constructive algorithms,82,81,2035,0.9878,0.0398,0.419,0.581,1
0x0c5cbae8,interactive,9,9,278,1.0,0.0324,0.4194,0.5806,1
0x0c5cbae8,math,143,141,3356,0.986,0.042,0.4196,0.5804,1
0x0c5cbae8,graphs,40,40,1187,1.0,0.0337,0.4202,0.5798,1
0x0c5cbae8,probabilities,9,9,265,1.0,0.034,0.4204,0.5796,1
0x0c5cbae8,binary search,69,67,1247,0.971,0.0537,0.4206,0.5794,1
0x0c5cbae8,dp,102,101,2442,0.9902,0.0414,0.4209,0.5791,1
0x0c5cbae8,combinatorics,29,29,813,1.0,0.0357,0.4214,0.5786,1
0x0c5cbae8,greedy,172,169,3429,0.9826,0.0493,0.4226,0.5774,1
0x0c5cbae8,meet-in-the-middle,2,2,51,1.0,0.0392,0.4235,0.5765,1
0x0c5cbae8,geometry,17,17,419,1.0,0.0406,0.4243,0.5757,1
0x0c5cbae8,sortings,52,52,1212,1.0,0.0429,0.4257,0.5743,1
0x0c5cbae8,trees,42,42,934,1.0,0.045,0.427,0.573,1
0x0c5cbae8,divide and conquer,16,16,344,1.0,0.0465,0.4279,0.5721,1
0x0c5cbae8,dfs and similar,50,50,1040,1.0,0.0481,0.4288,0.5712,1
0x0c5cbae8,2-sat,2,2,40,1.0,0.05,0.43,0.57,1
0x0c5cbae8,shortest paths,15,15,291,1.0,0.0515,0.4309,0.5691,1
0x0c5cbae8,games,19,19,287,1.0,0.0662,0.4397,0.5603,1
0x0c5cbae8,schedules,1,1,14,1.0,0.0714,0.4429,0.5571,1
111445,hashing,2,1,235,0.5,0.0043,0.2026,0.7974,1
111445,string suffix structures,4,2,100,0.5,0.02,0.212,0.788,1
111445,interactive,12,10,278,0.8333,0.036,0.3549,0.6451,1
111445,strings,10,9,792,0.9,0.0114,0.3668,0.6332,1
111445,binary search,28,25,1247,0.8929,0.02,0.3692,0.6308,1
111445,data structures,38,35,1974,0.9211,0.0177,0.3791,0.6209,1
111445,constructive algorithms,45,42,2035,0.9333,0.0206,0.3857,0.6143,1
111445,bitmasks,16,15,686,0.9375,0.0219,0.3881,0.6119,1
111445,graphs,22,21,1187,0.9545,0.0177,0.3924,0.6076,1
111445,implementation,39,38,2965,0.9744,0.0128,0.3974,0.6026,1
111445,greedy,74,72,3429,0.973,0.021,0.4018,0.5982,1
111445,flows,1,1,160,1.0,0.0062,0.4038,0.5962,1
111445,dp,50,49,2442,0.98,0.0201,0.404,0.596,1
111445,matrices,1,1,137,1.0,0.0073,0.4044,0.5956,1
111445,math,62,61,3356,0.9839,0.0182,0.4045,0.5955,1
111445,graph matchings,1,1,104,1.0,0.0096,0.4058,0.5942,1
111445,dsu,4,4,405,1.0,0.0099,0.4059,0.5941,1
111445,shortest paths,3,3,291,1.0,0.0103,0.4062,0.5938,1
111445,probabilities,3,3,265,1.0,0.0113,0.4068,0.5932,1
111445,sortings,16,16,1212,1.0,0.0132,0.4079,0.5921,1
111445,ternary search,1,1,69,1.0,0.0145,0.4087,0.5913,1
111445,geometry,7,7,419,1.0,0.0167,0.41,0.59,1
111445,fft,2,2,110,1.0,0.0182,0.4109,0.5891,1
111445,meet-in-the-middle,1,1,51,1.0,0.0196,0.4118,0.5882,1
111445,brute force,39,39,1935,1.0,0.0202,0.4121,0.5879,1
111445,games,6,6,287,1.0,0.0209,0.4125,0.5875,1
111445,number theory,18,18,862,1.0,0.0209,0.4125,0.5875,1
111445,dfs and similar,22,22,1040,1.0,0.0212,0.4127,0.5873,1
111445,trees,20,20,934,1.0,0.0214,0.4128,0.5872,1
111445,2-sat,1,1,40,1.0,0.025,0.415,0.585,1
111445,two pointers,16,16,625,1.0,0.0256,0.4154,0.5846,1
111445,combinatorics,25,25,813,1.0,0.0308,0.4185,0.5815,1
111445,divide and conquer,12,12,344,1.0,0.0349,0.4209,0.5791,1
111445,communication,1,1,3,1.0,0.3333,0.6,0.4,0
1225Xia,meet-in-the-middle,1,0,51,0.0,0.0,0.0,1.0,1
1225Xia,flows,2,1,160,0.5,0.0062,0.2038,0.7962,1
1225Xia,number theory,8,6,862,0.75,0.007,0.3042,0.6958,1
1225Xia,probabilities,4,3,265,0.75,0.0113,0.3068,0.6932,1
1225Xia,dsu,8,6,405,0.75,0.0148,0.3089,0.6911,1
1225Xia,two pointers,14,11,625,0.7857,0.0176,0.3248,0.6752,1
1225Xia,bitmasks,15,12,686,0.8,0.0175,0.3305,0.6695,1
1225Xia,binary search,30,24,1247,0.8,0.0192,0.3315,0.6685,1
1225Xia,brute force,25,21,1935,0.84,0.0109,0.3425,0.6575,1
1225Xia,data structures,54,45,1974,0.8333,0.0228,0.347,0.653,1
1225Xia,divide and conquer,12,10,344,0.8333,0.0291,0.3508,0.6492,1
1225Xia,dp,42,36,2442,0.8571,0.0147,0.3517,0.6483,1
1225Xia,trees,21,18,934,0.8571,0.0193,0.3544,0.6456,1
1225Xia,implementation,34,30,2965,0.8824,0.0101,0.359,0.641,1
1225Xia,greedy,95,84,3429,0.8842,0.0245,0.3684,0.6316,1
1225Xia,sortings,20,18,1212,0.9,0.0149,0.3689,0.6311,1
1225Xia,graphs,25,23,1187,0.92,0.0194,0.3796,0.6204,1
1225Xia,dfs and similar,16,15,1040,0.9375,0.0144,0.3837,0.6163,1
1225Xia,games,11,10,287,0.9091,0.0348,0.3845,0.6155,1
