user,solved,attempts,solve_rate,avg_attempts,avg_problem_rating,max_problem_rating,rating,max_rating
BlackAnt,613,1103,0.5557570262919311,1.799347471451876,1443,3200,2130,2326
BluoCaroot,1637,3754,0.43606819392647844,2.293219303604154,1382,3000,2156,2177
Boa_Hancock,190,399,0.47619047619047616,2.1,1367,2500,2170,2283
Boboge,3422,6659,0.5138909746208139,1.94593804792519,1600,3500,2496,2496
BullyPrime,43,102,0.4215686274509804,2.372093023255814,1895,2800,2027,2027
CCCCOrz,386,928,0.41594827586206895,2.4041450777202074,1632,3500,2124,2175
Caelith,490,843,0.5812574139976275,1.720408163265306,1520,2500,2017,2017
Calculatelove,906,1728,0.5243055555555556,1.9072847682119205,1895,3500,2161,2231
CareCare,529,868,0.6094470046082949,1.6408317580340264,1454,3300,2190,2190
ChatGPT4.0,58,98,0.5918367346938775,1.6896551724137931,1572,3300,2530,2530
CirnoNine,988,1672,0.5909090909090909,1.6923076923076923,1506,3300,2293,2340
CodigoL,1805,4796,0.37635529608006674,2.6570637119113574,1588,3300,2013,2391
Cody473,124,235,0.5276595744680851,1.8951612903225807,1299,2900,2256,2256
Coffee_zzz,237,519,0.45664739884393063,2.189873417721519,1474,3200,2235,2258
ConstructibleNumber,49,84,0.5833333333333334,1.7142857142857142,1618,3300,2409,2446
Cubber,659,1537,0.42875731945348083,2.3323216995447646,1627,3400,2563,2672
CutSandstone,1058,2268,0.46649029982363316,2.1436672967863895,1586,3200,2041,2201
CutieSmileHaruka,1073,2596,0.4133281972265023,2.419384902143523,1933,3500,2456,2540
Cwulaek,229,571,0.4010507880910683,2.493449781659389,1383,2700,2123,2142
DAleksa,1315,3269,0.4022636892015907,2.485931558935361,1407,3500,2191,2329
DJeniUp,1144,2938,0.3893805309734513,2.5681818181818183,1441,2900,1939,2296
DaddySoulMyKing667,233,725,0.3213793103448276,3.111587982832618,1320,3000,2398,2398
Dalek_of_Rivia,611,1075,0.5683720930232559,1.7594108019639934,1565,3500,2276,2399
DanielAnker,513,825,0.6218181818181818,1.608187134502924,1561,3500,2361,2622
DanielChang,2222,4847,0.4584278935423974,2.1813681368136812,1732,3000,2387,2538
Darius1414,372,809,0.45982694684796044,2.174731182795699,1458,2700,2184,2184
Dark__Seith,784,1271,0.6168371361132966,1.621173469387755,1249,3000,2338,2338
Darknef,39,76,0.5131578947368421,1.9487179487179487,1958,3500,2679,2679
Darko2026,122,187,0.6524064171122995,1.5327868852459017,1444,2600,1978,2232
Darren0725,90,201,0.44776119402985076,2.2333333333333334,1454,3500,2284,2284
Dart-Xeyter,1209,3685,0.32808683853459975,3.0479735318444994,1630,3500,2411,2453
David-M,970,2978,0.32572196104768303,3.0701030927835053,1399,3500,2056,2265
DavidGeo,362,633,0.5718799368088467,1.7486187845303867,1296,2700,2063,2063
Dby2dian,489,1065,0.4591549295774648,2.1779141104294477,1513,2900,2032,2036
Dck,432,1450,0.2979310344827586,3.3564814814814814,1317,2800,1936,2196
Deflect.,74,151,0.4900662251655629,2.0405405405405403,1439,2500,2242,2242
Denislav_Manev,933,1918,0.486444212721585,2.0557341907824225,1357,3200,2070,2091
Denisov,1402,3532,0.3969422423556059,2.5192582025677606,1642,3500,2281,2623
DeoMuonCodeNuaDau,175,322,0.5434782608695652,1.84,1350,3000,2467,2467
Dhakshith1189,425,1031,0.4122211445198836,2.4258823529411764,1491,3000,2103,2107
DigitalVest,865,1945,0.44473007712082263,2.2485549132947975,1620,3500,2234,2364
DimaTomsk,415,1290,0.32170542635658916,3.108433734939759,1387,3300,2267,2380
DinnerHunt,908,2069,0.4388593523441276,2.2786343612334803,1498,3200,2103,2103
Dinprosperity,867,1943,0.4462171899125064,2.241061130334487,2093,3500,2290,2446
Dispensable,922,1722,0.5354239256678281,1.8676789587852494,1600,3500,2416,2416
Djangle,232,628,0.36942675159235666,2.706896551724138,1374,3100,2148,2148
DmitryLzr,1295,2495,0.5190380761523046,1.9266409266409266,1645,3300,2219,2315
Dog_King,222,546,0.4065934065934066,2.4594594594594597,1532,3500,2260,2375
Donaldqian0712,495,1142,0.43345008756567427,2.3070707070707073,1907,3500,2070,2353
DownRat,298,814,0.36609336609336607,2.7315436241610738,2180,3500,2472,2472
Dragokj03,1006,2294,0.4385353095030514,2.280318091451292,1409,2700,2065,2216
DylanSmith,2037,4243,0.48008484562809334,2.082965144820815,1604,3500,2251,2521
ETO_leader,694,1692,0.4101654846335697,2.438040345821326,2086,3500,2613,2620
EasonTAO,1250,3079,0.40597596622279963,2.4632,1718,3500,2783,2991
Edu175,1443,2809,0.5137059451762193,1.9466389466389467,1525,3400,2366,2469
Egor,2678,4344,0.6164825046040515,1.6221060492905153,1735,3500,2759,3235
El_Medonho,655,1477,0.44346648612051454,2.2549618320610687,1323,2900,2043,2076
Eldar_H1,296,567,0.5220458553791887,1.9155405405405406,1558,3100,2498,2498
ElderlyPassionFruit,31,50,0.62,1.6129032258064515,1335,2700,2078,2078
Emikooh,478,920,0.5195652173913043,1.9246861924686192,1538,3500,2314,2429
Empty_Dust,855,1970,0.434010152284264,2.304093567251462,1526,3200,2016,2292
Enigma27,1450,3421,0.4238526746565332,2.3593103448275863,1361,2800,2109,2109
Enoch006,682,3081,0.2213567023693606,4.5175953079178885,1969,3500,2242,2273
Ergodic137,762,1251,0.6091127098321343,1.641732283464567,1630,2800,2180,2317
Ericwan_,154,537,0.28677839851024206,3.487012987012987,2092,3500,2067,2072
ErrorAssassin,427,850,0.5023529411764706,1.990632318501171,1169,2600,2059,2097
Escapisst,231,700,0.33,3.0303030303030303,1238,2700,2043,2119
EverlastingEternity,838,2434,0.3442892358258012,2.9045346062052504,2459,3500,2130,2195
ExplodingKonjac,578,1810,0.31933701657458563,3.131487889273356,2302,3500,2283,2445
ExtraNumber,338,890,0.3797752808988764,2.633136094674556,1609,3500,2190,2190
Eyes_on_me,1179,2852,0.41339410939691446,2.4189991518235794,1391,2600,2150,2168
FLY_lai,1092,2212,0.4936708860759494,2.0256410256410255,2093,3500,2509,2509
FableWeaver,39,63,0.6190476190476191,1.6153846153846154,1484,2800,2326,2349
Farhod,3438,8079,0.42554771630152244,2.349912739965096,1559,3500,2741,2976
FelixMP,917,2086,0.4395973154362416,2.2748091603053435,1529,3400,2083,2385
FinrodF,414,942,0.4394904458598726,2.2753623188405796,1548,3000,2071,2226
Fizonel,275,318,0.8647798742138365,1.1563636363636363,1624,3500,2178,2213
Forested,555,837,0.6630824372759857,1.508108108108108,1651,3300,2606,2979
Fostok,1961,6439,0.30455039602422734,3.2835288118306987,1301,3500,2214,2214
Francesco4203,786,2891,0.27187824282255274,3.678117048346056,1460,3100,2087,2167
Franuch,547,931,0.5875402792696026,1.7020109689213894,1511,3000,2252,2298
FugiPig,230,565,0.40707964601769914,2.4565217391304346,1655,3500,2087,2087
FurinaHateComma,384,863,0.44495944380069524,2.2473958333333335,1543,3100,2524,2524
Furioso_Slient,222,529,0.41965973534971646,2.3828828828828827,1975,3400,2329,2357
GKarthik26,34,63,0.5396825396825397,1.8529411764705883,1517,3000,2119,2439
GOTKAKO,1665,2952,0.5640243902439024,1.772972972972973,1506,3300,2335,2676
GUAIKATTO,885,1503,0.5888223552894212,1.6983050847457628,1509,3500,1985,2175
Galetx,867,2624,0.33041158536585363,3.0265282583621684,2304,3500,2812,2812
Gassa,2686,5248,0.5118140243902439,1.9538346984363366,1561,3100,2029,2616
Gazza,48,74,0.6486486486486487,1.5416666666666667,1381,2600,2042,2042
GdxMilk,282,714,0.3949579831932773,2.5319148936170213,2100,3500,2135,2135
Geforgs,731,1650,0.44303030303030305,2.2571819425444595,1442,3300,2203,2366
Gheal,1562,3900,0.4005128205128205,2.496798975672215,1496,3200,2282,2449
Glac1er,226,421,0.5368171021377672,1.8628318584070795,1337,2600,2041,2233
Gmt.FFF,339,1324,0.25604229607250756,3.905604719764012,1736,3500,2216,2307
Godelizer,102,227,0.44933920704845814,2.2254901960784315,1319,2400,2091,2158
Gold_Dino,201,637,0.315541601255887,3.1691542288557213,2211,3500,2105,2105
Golovanov399,3048,5551,0.5490902540082868,1.8211942257217848,1724,3500,2821,3303
Greensheep,147,308,0.4772727272727273,2.0952380952380953,1773,3300,2048,2129
Gypsies,95,149,0.6375838926174496,1.568421052631579,1203,2600,2022,2022
HBPlayer,490,796,0.6155778894472361,1.6244897959183673,1326,3300,2479,2479
HIR180,1633,4749,0.3438618656559276,2.908144519289651,1992,3500,2854,3102
Hamed_Ghaffari,2863,5874,0.4874021109976166,2.0516940272441495,1790,3500,2665,2792
Handsome2004,629,1514,0.4154557463672391,2.4069952305246423,1613,3300,2208,2349
Haorayz4,355,884,0.40158371040723984,2.4901408450704223,1663,3500,1860,2232
Harsh_kunwar,1903,3778,0.5037056643726839,1.9852863899106674,1526,3500,2341,2444
Hayabusaa,648,1724,0.37587006960556846,2.6604938271604937,1597,3500,2194,2194
Hayashi,790,1569,0.5035054174633524,1.9860759493670885,1538,3400,2307,2439
HinamiAoi,43,108,0.39814814814814814,2.511627906976744,1748,3500,2140,2140
Hongruizhao,1218,2711,0.44928070822574695,2.2257799671592773,2115,3500,2114,2114
Horka,2860,5345,0.5350795135640786,1.868881118881119,1375,2800,2131,2213
HotoKokoacpp,203,371,0.5471698113207547,1.8275862068965518,1911,3500,2159,2159
HoyHoyCharhang,179,275,0.6509090909090909,1.5363128491620113,1419,2900,2129,2129
HusseinFarhat,1074,2153,0.4988388295401765,2.0046554934823093,1385,2800,2137,2325
Hydrotherapy,66,128,0.515625,1.9393939393939394,1322,2400,2185,2185
Hyperbolic,3594,7525,0.4776079734219269,2.093767390094602,1521,3300,2442,2640
I.Gleb,637,1373,0.46394756008739985,2.1554160125588697,1486,3300,2186,2457
I_am_Domik,655,1460,0.4486301369863014,2.2290076335877864,1258,2600,2054,2256
I_am_the_Lord_Voldemort,121,246,0.491869918699187,2.0330578512396693,1472,2600,2098,2098
Ice_man2.0,209,516,0.4050387596899225,2.4688995215311005,1415,3000,2327,2327
Ignut,684,1755,0.38974358974358975,2.5657894736842106,1391,2700,2175,2269
Include_Z_F_R_,443,1142,0.38791593695271454,2.5778781038374716,1869,3500,2446,2446
Intellegent,1214,3262,0.37216431637032493,2.686985172981878,1617,3500,2407,2509
InternetPerson10,887,2149,0.4127501163331782,2.422773393461105,1521,3100,2395,2672
Irisqwq,36,79,0.45569620253164556,2.1944444444444446,1547,3300,2282,2325
Iroha_3856,265,414,0.6400966183574879,1.5622641509433963,1306,2700,2127,2324
Is-this-FWHT,102,260,0.3923076923076923,2.549019607843137,1383,2600,2011,2126
ItsJerr,250,458,0.5458515283842795,1.832,1471,3000,2058,2153
ItsMyGo,313,943,0.33191940615058324,3.012779552715655,2124,3500,2640,2854
ItsNotMeItsYou,2262,5575,0.40573991031390133,2.4646330680813437,1651,3300,2232,2466
Ivan_len,1107,2349,0.47126436781609193,2.1219512195121952,1476,3000,2567,2567
JDScript0117,406,1025,0.3960975609756098,2.5246305418719213,1912,3500,3006,3242
JaeminPark,220,411,0.5352798053527981,1.8681818181818182,1610,3300,2342,2605
JagguBandar,1312,3156,0.4157160963244613,2.4054878048780486,1385,3100,2102,2290
JahonaliX,3119,8621,0.3617909755248811,2.764026931708881,1343,3100,2159,2212
JakobZ,994,2376,0.41835016835016836,2.3903420523138834,1569,3100,2086,2300
Jensen123,1612,3528,0.45691609977324266,2.1885856079404467,1504,2700,2169,2169
JerrySyr,405,738,0.5487804878048781,1.8222222222222222,1605,2900,2247,2275
Joacoini,456,1066,0.4277673545966229,2.337719298245614,1691,3200,2093,2100
JohnNash01,82,221,0.37104072398190047,2.6951219512195124,1352,3500,2032,2331
Joler_,1632,3649,0.4472458207728145,2.235906862745098,1377,3100,2332,2454
Jrke,903,3229,0.2796531433880458,3.575858250276855,1556,3500,2191,2206
JunkieDonkey,2151,4801,0.44803166007081857,2.231985123198512,1634,3400,2131,2352
K8He,404,1052,0.3840304182509506,2.603960396039604,2234,3500,2303,2303
KALARRY,484,1249,0.3875100080064051,2.580578512396694,1438,3000,2102,2238
KIRIJIJI,1567,2496,0.6278044871794872,1.5928525845564774,1429,2900,2266,2271
KSCD,734,1738,0.4223245109321059,2.3678474114441417,1802,3400,2106,2260
Kaito_Kuroba,39,58,0.6724137931034483,1.4871794871794872,1453,2400,2035,2035
Kako,443,868,0.5103686635944701,1.9593679458239277,1452,3200,2056,2373
Kevin114514,1784,5355,0.33314659197012136,3.001681614349776,2055,3500,3611,3811
KevinWan,1509,3283,0.4596405726469692,2.1756129887342612,1972,3500,2546,2798
Kherkani_36,72,108,0.6666666666666666,1.5,1473,2700,2158,2158
KiKoS,841,2995,0.28080133555926545,3.5612366230677766,1691,3500,1960,2351
Kieray,546,955,0.5717277486910994,1.749084249084249,1745,3500,2115,2418
Kira_1234,3446,6693,0.5148662782011056,1.9422518862449216,1564,3100,2146,2512
KnightmareLogic,83,132,0.6287878787878788,1.5903614457831325,1536,2800,2096,2096
Kouba64,544,1057,0.5146641438032167,1.943014705882353,1752,3300,2090,2154
Kriz_Wu,646,1444,0.4473684210526316,2.235294117647059,1770,3500,1947,2473
KroosTheKeenGlint,1088,2168,0.5018450184501845,1.9926470588235294,1636,3500,2559,2764
Kstarile,37,60,0.6166666666666667,1.6216216216216217,1378,2400,2109,2109
Kude,2902,3983,0.7285965352749184,1.3725017229496899,1550,3200,2482,2787
Kuroni,1421,3440,0.4130813953488372,2.4208304011259676,1954,3500,2581,2871
Kustov_Vadim_533,1233,3149,0.3915528739282312,2.553933495539335,1583,3400,2214,2305
LHWYAN,775,1401,0.5531763026409707,1.807741935483871,1447,3500,2076,2108
LLI_E_P_JI_O_K,491,1859,0.26412049488972567,3.786150712830957,1570,3100,2456,2456
LLLjsQAQ,46,80,0.575,1.7391304347826086,1589,3500,2188,2188
Labib_Morol,32,62,0.5161290322580645,1.9375,1465,2400,2014,2014
LadyMisserina,107,195,0.5487179487179488,1.8224299065420562,1374,2600,1884,2151
Leasier,920,2371,0.38802193167439897,2.5771739130434783,1898,3500,2229,2469
Lehe,914,2374,0.38500421229991577,2.597374179431072,1904,3500,2093,2315
Lemansky,139,314,0.4426751592356688,2.258992805755396,1379,3500,2055,2055
Leo_0503,543,1356,0.4004424778761062,2.4972375690607733,1976,3500,2287,2287
Leo_wang,99,220,0.45,2.2222222222222223,1560,2600,2216,2223
LingLuo_Official,139,223,0.6233183856502242,1.60431654676259,1692,3500,2437,2437
Little_CarT,306,636,0.4811320754716981,2.0784313725490198,1719,3300,2094,2293
Liudas,1243,3010,0.41295681063122924,2.421560740144811,1363,3400,2348,2348
Lokeo,919,3047,0.3016081391532655,3.3155603917301413,1590,3500,2089,2277
Lopzzz,506,2018,0.25074331020812685,3.9881422924901186,1258,3300,2108,2108
Louis_handsome,29,61,0.47540983606557374,2.103448275862069,1400,2400,2169,2218
LowPill,266,640,0.415625,2.406015037593985,1568,2900,2249,2324
LuCpp,942,1631,0.5775597792765175,1.7314225053078556,1816,3500,2720,2775
Lucifer_K,778,1323,0.5880574452003023,1.7005141388174807,1375,3500,2040,2210
Lucky-Xiang,384,772,0.49740932642487046,2.0104166666666665,1845,3400,2038,2252
LvK_NnT,178,503,0.3538767395626243,2.8258426966292136,1028,2400,2030,2030
M0N,2014,4729,0.4258828504969338,2.3480635551142006,1403,3000,2139,2158
MAKMED1337,1708,3692,0.4626218851570964,2.161592505854801,1561,3300,2233,2544
MBBN,303,624,0.4855769230769231,2.0594059405940595,1780,3500,2048,2116
MN3M,912,2727,0.33443344334433445,2.9901315789473686,1205,2600,2022,2022
MODDI,1803,4766,0.37830465799412505,2.6433721575152522,1153,3400,2440,2440
MR_NoSolution,1425,2514,0.5668257756563246,1.7642105263157895,1590,3400,2291,2320
MYFJCHX,724,2103,0.34427009034712314,2.904696132596685,2231,3500,2689,2913
Macesuted-Moe,675,1686,0.400355871886121,2.497777777777778,1868,3500,2568,2755
MagicSena,294,570,0.5157894736842106,1.9387755102040816,1940,2900,2068,2068
MagnusCarlsen321,2376,4548,0.5224274406332454,1.9141414141414141,1445,3300,2192,2284
Maksim1744,1936,5097,0.37983127329801847,2.6327479338842976,1819,3500,3110,3376
Mapakaka,271,566,0.4787985865724382,2.088560885608856,2045,3500,2508,2990
Marceantasy,764,1510,0.5059602649006623,1.9764397905759161,1328,3000,2138,2138
Marckess,5301,9097,0.5827195778828185,1.7160913035276364,1747,3500,2486,2681
MateoCV,2602,3863,0.6735697644317887,1.4846272098385858,1487,3000,2203,2574
MattTheNub,1327,2707,0.4902105652013299,2.039939713639789,1649,3100,2244,2389
Maxduan,1383,3136,0.44100765306122447,2.2675343456254518,1724,3200,2307,2460
MayankSavaliya,1259,3325,0.3786466165413534,2.6409849086576647,1365,2900,2039,2083
Michi_Numberz,440,792,0.5555555555555556,1.8,1392,3000,2131,2131
Mina7akim,1793,4416,0.4060235507246377,2.4629113218070273,1367,3500,2074,2098
Misuki,2959,5182,0.571015052103435,1.7512673200405542,1708,3500,2323,2443
Mitsubachi,603,1224,0.49264705882352944,2.029850746268657,1390,3100,2134,2515
MoSooN,613,1210,0.5066115702479339,1.9738988580750407,1164,2500,2140,2171
More,1021,1881,0.542796384901648,1.842311459353575,1474,3100,2113,2450
MrAndria,1473,3409,0.4320915224405984,2.3143245078071963,1363,2900,2081,2222
MrPython,654,1623,0.4029574861367837,2.481651376146789,1461,3300,2131,2278
Mr_Turtle_,1004,2314,0.4338807260155575,2.304780876494024,1302,2800,1964,2039
Musa_82FaGm,175,413,0.423728813559322,2.36,987,2800,2272,2272
MvKaio,2121,4906,0.4323277619241745,2.313059877416313,1430,3500,2103,2292
NabilaZaraWidyana,197,267,0.7378277153558053,1.3553299492385786,1347,2800,2018,2018
Nachia,860,1470,0.5850340136054422,1.7093023255813953,1796,3500,3328,3564
Namine,482,1213,0.3973619126133553,2.516597510373444,1717,2700,1861,2163
NanYan,57,86,0.6627906976744186,1.5087719298245614,1371,2700,2888,2888
Nanani,911,2131,0.4274988268418583,2.339187705817783,1514,3200,2116,2286
Natsuzora,401,669,0.5994020926756353,1.6683291770573565,1498,3000,2188,2476
Neil_Qian,420,1079,0.38924930491195553,2.5690476190476192,1984,3500,2030,2143
NetFriendMutsumi,70,107,0.6542056074766355,1.5285714285714285,1432,2500,2082,2094
Network_Error,813,2449,0.3319722335647203,3.01230012300123,2168,3500,2461,2624
NickMish,371,849,0.4369846878680801,2.288409703504043,1798,3500,2413,2527
Nika_Tamliani,3030,8471,0.35769094557903436,2.795709570957096,1536,3200,2174,2428
Nikrien,314,743,0.4226110363391655,2.3662420382165603,1347,3500,2426,2436
Noobish_Monk,1719,4286,0.4010732617825478,2.4933100639906924,1772,3500,2214,2567
NotDWT,826,1711,0.4827586206896552,2.0714285714285716,1388,3500,2193,2238
NotNanYan,45,77,0.5844155844155844,1.711111111111111,1355,2900,2217,2217
NotOnlySuccess,648,1790,0.36201117318435755,2.7623456790123457,1574,3200,2579,2579
Nrtusea,441,858,0.513986013986014,1.945578231292517,1756,3100,2290,2301
Ns6Juruo,483,1010,0.4782178217821782,2.091097308488613,1907,3500,2079,2106
Nyaan,1080,2241,0.4819277108433735,2.075,1792,3500,2419,3003
OG_Matveychick1,2608,7067,0.36903919626432713,2.709739263803681,1587,3500,2445,2576
OIer_kzc,578,1052,0.5494296577946768,1.820069204152249,1797,3500,2593,2912
ORzyzRO,1019,2846,0.35804638088545326,2.7929342492639844,2117,3500,2887,2887
OdtreeKing,212,471,0.45010615711252655,2.2216981132075473,1942,3300,2364,2377
OneCyborg,119,287,0.4146341463414634,2.411764705882353,1412,3100,2380,2380
Only365,229,542,0.4225092250922509,2.3668122270742358,1174,3200,2000,2024
OrangeEye,907,2652,0.3420060331825038,2.9239250275633957,1883,3500,2664,2969
OrientDragon,44,82,0.5365853658536586,1.8636363636363635,1540,2900,2136,2136
Ormlis,3066,6251,0.49048152295632697,2.038812785388128,1844,3500,3305,3641
OutsiderZz,1410,2693,0.5235796509468994,1.9099290780141844,1812,3500,2407,2407
PCTprobability,580,1487,0.39004707464694016,2.5637931034482757,1677,3500,3061,3061
PTqwq_,536,1330,0.4030075187969925,2.4813432835820897,2278,3500,2435,2435
Pacybwoah,377,714,0.5280112044817927,1.893899204244032,1566,3300,2407,2448
Pain850,35,67,0.5223880597014925,1.9142857142857144,1557,2900,2210,2293
Papaulo,1135,2343,0.4844216816047802,2.06431718061674,1871,3400,2396,2396
PaperCloud,482,858,0.5617715617715617,1.7800829875518671,1571,3100,2147,2304
PelicanPilot,73,98,0.7448979591836735,1.3424657534246576,1942,3500,2587,2587
Petr,1224,2021,0.6056407718951015,1.651143790849673,2043,3500,2984,3597
Petra_A,42,63,0.6666666666666666,1.5,1585,2900,2670,2670
Petroleumus,358,1111,0.32223222322232226,3.1033519553072626,1400,2900,2321,2321
Piau_,39,73,0.5342465753424658,1.8717948717948718,1430,2900,2102,2102
PieArmy,691,1745,0.39598853868194844,2.5253256150506513,1626,3200,2220,2365
PinkieRabbit,739,1350,0.5474074074074075,1.8267929634641407,1879,3500,2711,2956
Pipelining,107,281,0.3807829181494662,2.6261682242990654,1893,2800,2629,2629
PlayVoltz,209,483,0.432712215320911,2.311004784688995,1086,2800,2336,2336
Potassium,2357,4597,0.5127256906678268,1.9503606279168435,1689,3500,2329,2785
Pottes,1100,2422,0.4541701073492981,2.2018181818181817,1626,3000,2021,2203
Proof_by_QED,1811,3236,0.5596415327564895,1.7868580894533408,1283,3500,2257,2386
Pumkinhead_Me,747,1903,0.3925380977404099,2.5475234270414995,1505,3300,2106,2164
